x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel
1293490.420,5044343.240,309.040,4,353620819.173579,10.002,21760,1,1,6,0,0,0,0,0,0
1293490.430,5044343.440,309.060,4,353620819.179594,10.002,19968,1,1,6,0,0,0,0,0,0
1293490.260,5044344.300,309.090,4,353620819.193487,10.002,23040,1,1,6,0,0,0,0,0,0
1293490.880,5044343.910,309.600,4,353620819.193494,10.002,24064,1,1,6,0,0,0,0,0,0
1293491.560,5044343.490,309.720,4,353620819.193501,10.002,24064,1,1,6,0,0,0,0,0,0
1293491.940,5044343.510,310.150,4,353620819.199502,10.998,11008,1,1,6,0,0,0,0,0,0
1293491.300,5044343.920,309.750,4,353620819.199509,10.002,21248,1,1,6,0,0,0,0,0,0
1293490.640,5044344.330,309.490,4,353620819.199516,10.002,20736,1,1,6,0,0,0,0,0,0
1293490.190,5044345.400,311.030,4,353620819.213409,10.002,16128,1,1,6,0,0,0,0,0,0
1293491.160,5044344.860,309.550,4,353620819.213416,10.002,19968,1,1,6,0,0,0,0,0,0
1293491.810,5044344.450,309.880,4,353620819.213423,10.002,21760,1,1,6,0,0,0,0,0,0
1293492.460,5044344.040,310.180,4,353620819.213430,10.998,21248,1,1,6,0,0,0,0,0,0
1293493.150,5044343.620,310.260,4,353620819.213437,10.998,16896,1,1,6,0,0,0,0,0,0
1293493.810,5044343.210,310.520,4,353620819.213443,10.998,7168,1,1,6,0,0,0,0,0,0
1293493.850,5044343.480,310.240,4,353620819.219410,10.998,7680,1,1,6,0,0,0,0,0,0
1293493.150,5044343.910,310.250,4,353620819.219417,10.998,14848,1,1,6,0,0,0,0,0,0
1293492.440,5044344.340,310.220,4,353620819.219424,10.998,16896,1,1,6,0,0,0,0,0,0
1293491.780,5044344.750,309.980,4,353620819.219431,10.002,18176,1,1,6,0,0,0,0,0,0
1293491.140,5044345.160,309.550,4,353620819.219438,10.002,18688,1,1,6,0,0,0,0,0,0
1293490.180,5044345.700,310.860,4,353620819.219444,10.002,14592,1,1,6,0,0,0,0,0,0
1293490.300,5044346.300,311.770,4,353620819.233324,10.002,17408,1,1,6,0,0,0,0,0,0
1293491.160,5044345.800,310.960,4,353620819.233331,10.002,3840,1,1,6,0,0,0,0,0,0
1293492.160,5044345.250,309.390,3,353620819.233338,10.002,23296,1,1,6,0,0,0,0,0,0
1293492.750,5044344.860,310.010,3,353620819.233345,10.002,17408,1,1,6,0,0,0,0,0,0
1293493.400,5044344.460,310.310,4,353620819.233351,10.998,15872,1,1,6,0,0,0,0,0,0
1293493.900,5044344.110,311.390,4,353620819.233358,10.998,7936,1,1,6,0,0,0,0,0,0
1293494.730,5044343.630,310.740,4,353620819.233365,10.998,12288,1,1,6,0,0,0,0,0,0
1293495.480,5044343.180,310.460,3,353620819.233372,10.998,14848,1,1,6,0,0,0,0,0,0
1293496.080,5044343.130,310.590,3,353620819.239319,10.998,14336,1,1,6,0,0,0,0,0,0
1293495.400,5044343.540,310.420,3,353620819.239326,10.998,10496,1,1,6,0,0,0,0,0,0
1293494.570,5044344.030,311.080,4,353620819.239332,10.998,13824,1,1,6,0,0,0,0,0,0
1293493.810,5044344.490,311.370,4,353620819.239339,10.998,8960,1,1,6,0,0,0,0,0,0
1293493.290,5044344.840,310.350,3,353620819.239346,10.998,12032,1,1,6,0,0,0,0,0,0
1293492.720,5044345.210,309.620,3,353620819.239353,10.002,15872,1,1,6,0,0,0,0,0,0
1293492.010,5044345.650,309.580,3,353620819.239359,10.002,16128,1,1,6,0,0,0,0,0,0
1293490.910,5044346.240,311.680,4,353620819.239366,10.002,13568,1,1,6,0,0,0,0,0,0
1293490.250,5044346.660,311.410,4,353620819.239373,10.002,15616,1,1,6,0,0,0,0,0,0
1293490.390,5044347.370,311.050,4,353620819.253239,10.002,15872,1,1,6,0,0,0,0,0,0
1293490.980,5044346.990,311.700,4,353620819.253246,10.002,17920,1,1,6,0,0,0,0,0,0
1293492.070,5044346.390,309.660,3,353620819.253253,10.002,21504,1,1,6,0,0,0,0,0,0
1293492.730,5044345.980,309.870,3,353620819.253260,10.002,23296,1,1,6,0,0,0,0,0,0
1293493.360,5044345.580,310.290,3,353620819.253267,10.002,15104,1,1,6,0,0,0,0,0,0
1293493.870,5044345.230,311.390,4,353620819.253273,10.998,14848,1,1,6,0,0,0,0,0,0
1293494.530,5044344.820,311.540,4,353620819.253280,10.998,15360,1,1,6,0,0,0,0,0,0
1293495.180,5044344.420,311.840,4,353620819.253287,10.998,18944,1,1,6,0,0,0,0,0,0
1293495.840,5044344.010,312.100,4,353620819.253294,10.998,10752,1,1,6,0,0,0,0,0,0
1293496.590,5044343.560,311.830,4,353620819.253301,10.998,14080,1,1,6,0,0,0,0,0,0
1293497.210,5044343.170,312.230,4,353620819.253308,10.998,2304,1,1,6,0,0,0,0,0,0
1293497.440,5044343.360,311.580,3,353620819.259227,10.998,11008,1,1,6,0,0,0,0,0,0
1293496.660,5044343.830,311.990,4,353620819.259234,10.998,8448,1,1,6,0,0,0,0,0,0
1293495.950,5044344.260,311.990,4,353620819.259241,10.998,7680,1,1,6,0,0,0,0,0,0
1293495.290,5044344.670,311.770,4,353620819.259247,10.998,15616,1,1,6,0,0,0,0,0,0
1293494.660,5044345.070,311.330,3,353620819.259254,10.998,14592,1,1,6,0,0,0,0,0,0
1293493.880,5044345.530,311.690,4,353620819.259261,10.998,11520,1,1,6,0,0,0,0,0,0
1293493.350,5044345.890,310.760,3,353620819.259268,10.002,12032,1,1,6,0,0,0,0,0,0
1293492.800,5044346.260,309.880,3,353620819.259274,10.002,18432,1,1,6,0,0,0,0,0,0
1293492.080,5044346.700,309.950,3,353620819.259281,10.002,16384,1,1,6,0,0,0,0,0,0
